TmktTeam;FdataTeam;Correction
KSC Lokeren;Lokeren;
KV Kortrijk;Kortrijk;
KV Mechelen;Mechelen;
Cercle Brügge;Cercle Brugge;
FC Brügge;Club Brugge;
KAA Gent;Gent;
KRC Genk;Genk;
RSC Charleroi;Charleroi;
RSC Anderlecht;Anderlecht;
KV Oostende;Oostende;
Standard Lüttich;Standard;
SV Zulte Waregem;Waregem;
Lierse SK;Lierse;
KVC Westerlo;Westerlo;
KSV Roeselare;Roeselare;
KAS Eupen;Eupen;
VV St. Truiden;St Truiden;
RAEC Mons;Bergen;
Beerschot AC;Germinal;*
AFC Sunderland;Sunderland;
FC Arsenal;Arsenal;
FC Burnley;Burnley;
Manchester United;Man United;
Birmingham City;Birmingham;
Manchester City;Man City;
FC Chelsea;Chelsea;
FC Everton;Everton;
FC Liverpool;Liverpool;
FC Southampton;Southampton;
Newcastle United;Newcastle;
Hull City;Hull;
Leicester City;Leicester;
Queens Park Rangers;QPR;
Blackburn Rovers;Blackburn;
Bolton Wanderers;Bolton;
Derby County;Derby;
Stoke City;Stoke;
Tottenham Hotspur;Tottenham;
FC Fulham;Fulham;
West Bromwich Albion;West Brom;
West Ham United;West Ham;
Swansea City;Swansea;
FC Blackpool;Blackpool;
Sheffield Wednesday;Sheffield Weds;
Norwich City;Norwich;
FC Reading;Reading;
FC Middlesbrough;Middlesbrough;
Nottingham Forest;Nott'm Forest;
Leeds United;Leeds;
Huddersfield Town;Huddersfield;
Ipswich Town;Ipswich;
Coventry City;Coventry;
Wigan Athletic;Wigan;
FC Watford;Watford;
AFC Bournemouth;Bournemouth;
Charlton Athletic;Charlton;
Brighton & Hove Albion;Brighton;
Cardiff City;Cardiff;
FC Millwall;Millwall;
Doncaster Rovers;Doncaster;
Peterborough United;Peterboro;
FC Barnsley;Barnsley;
Scunthorpe United;Scunthorpe;
Yeovil Town;Yeovil;
Preston North End;Preston;
Wolverhampton Wanderers;Wolves;
Plymouth Argyle;Plymouth;*
FC Portsmouth;Portsmouth;*
OGC Nizza;Nice;
FC Stade Rennes;Rennes;
FC Sochaux-Montbéliard;Sochaux;
FC Girondins Bordeaux;Bordeaux;
US Boulogne;Boulogne;*
HSC Montpellier;Montpellier;
OSC Lille;Lille;
AS Saint-Étienne;St Etienne;
FC Valenciennes;Valenciennes;
Grenoble Foot 38;Grenoble;*
FC Évian Thonon Gaillard;Evian Thonon Gaillard;
FC Paris Saint-Germain;Paris SG;
RC Lens;Lens;
AJ Auxerre;Auxerre;
Olympique Marseille;Marseille;
FC Toulouse;Toulouse;
FC Lorient;Lorient;
Olympique Lyon;Lyon;
AS Nancy-Lorraine;Nancy;
AS Monaco;Monaco;
FC Le Mans;Le Mans;*
AC Arles-Avignon;Arles;
Stade Brest 29;Brest;
SM Caen;Caen;
FCO Dijon;Dijon;
AC Ajaccio;Ajaccio;
SC Bastia;Bastia;
Stade Reims;Reims;
ES Troyes AC;Troyes;
FC Nantes;Nantes;
EA Guingamp;Guingamp;
FC Bayern München;Bayern Munich;
Borussia Dortmund;Dortmund;
Eintracht Frankfurt;Ein Frankfurt;
1.FC Köln;FC Koln;
Hamburger SV;Hamburg;
Bayer 04 Leverkusen;Leverkusen;
Hannover 96;Hannover;
FC Schalke 04;Schalke 04;
VfB Stuttgart;Stuttgart;
SC Freiburg;Freiburg;
1.FC Nürnberg;Nurnberg;
VfL Bochum;Bochum;
Borussia Mönchengladbach;M'gladbach;
1.FSV Mainz 05;Mainz;
VfL Wolfsburg;Wolfsburg;
Hertha BSC;Hertha;
SV Werder Bremen;Werder Bremen;
TSG 1899 Hoffenheim;Hoffenheim;
FC St. Pauli;St Pauli;
1.FC Kaiserslautern;Kaiserslautern;
FC Augsburg;Augsburg;
Fortuna Düsseldorf;Fortuna Dusseldorf;
SpVgg Greuther Fürth;Greuther Furth;
Eintracht Braunschweig;Braunschweig;
Alemannia Aachen;Aachen;*
TuS Koblenz;Koblenz;*
TSV 1860 München;Munich 1860;
Rot Weiss Ahlen;Ahlen;*
MSV Duisburg;Duisburg;
FC Hansa Rostock;Hansa Rostock;
Rot-Weiß Oberhausen;Oberhausen;*
SC Paderborn 07;Paderborn;
1.FC Union Berlin;Union Berlin;
Arminia Bielefeld;Bielefeld;
FSV Frankfurt;Frankfurt FSV;
Karlsruher SC;Karlsruhe;
FC Energie Cottbus;Cottbus;
FC Erzgebirge Aue ;Erzgebirge Aue;
FC Ingolstadt 04;Ingolstadt;
VfL Osnabrück;Osnabruck;
Dynamo Dresden;Dresden;
VfR Aalen;Aalen;
SSV Jahn Regensburg;Regensburg;
SV Sandhausen;Sandhausen;
AC Mailand;Milan;
FC Parma;Parma;
Cagliari Calcio;Cagliari;
Chievo Verona;Chievo;
AC Florenz;Fiorentina;
AS Livorno;Livorno;
US Palermo;Palermo;
AS Rom;Roma;
Sampdoria Genua;Sampdoria;
Robur Siena;Siena;*
Atalanta Bergamo;Atalanta;
FC Bari 1908;Bari;
Catania Calcio;Catania;
Lazio Rom;Lazio;
FC Genua 1893;Genoa;
Inter Mailand;Inter;
Udinese Calcio;Udinese;
FC Bologna;Bologna;
Juventus Turin;Juventus;
SSC Neapel;Napoli;
AC Cesena;Cesena;
Brescia Calcio;Brescia;
US Lecce;Lecce;*
Novara Calcio 1908;Novara;
FC Turin;Torino;
Delfino Pescara 1936;Pescara;
US Sassuolo;Sassuolo;
Hellas Verona;Verona;
FC Crotone;Crotone;
Frosinone Calcio;Frosinone;
Modena FC 1912;Modena;
Biancoscudati Padova;Padova;*
Piacenza Calcio 1919;Piacenza;*
Reggina Calcio;Reggina;*
US Salernitana 1919;Salernitana;*
Ascoli Picchio;Ascoli;*
FC Empoli;Empoli;
A.S.D. Gallipoli;Gallipoli;*
Real Vicenza VS;Vicenza;
Mantova FC;Mantova;
AS Cittadella;Cittadella;
US Triestina;Triestina;
UC AlbinoLeffe;Albinoleffe;
US Ancona;Ancona;*
US Grosseto;Grosseto;*
Piacenza Calcio 1919;Piacenza ;*
AS Varese 1910;Varese;
Calcio Portogruaro-Summaga;Portogruaro;
SS Juve Stabia;Juve Stabia;*
AS Gubbio 1910;Gubbio;*
ASG Nocerina;Nocerina;*
Ternana Calcio;Ternana;
SS Virtus Lanciano;Virtus Lanciano;
FC Pro Vercelli 1892;Pro Vercelli;
Spezia Calcio;Spezia;
AS Avellino 1912;Avellino;
US Latina Calcio;Latina;
Trapani Calcio;Trapani;
Carpi FC 1909;Carpi;
Heracles Almelo;Heracles;
Sparta Rotterdam;Sparta;
RKC Waalwijk;Waalwijk;
Willem II Tilburg;Willem II;
Ajax Amsterdam;Ajax;
VVV-Venlo;VVV Venlo;
Vitesse Arnheim;Vitesse;
Feyenoord Rotterdam;Feyenoord;
FC Groningen;Groningen;
NEC Nijmegen;Nijmegen;
Roda JC Kerkrade;Roda JC;
FC Utrecht;Utrecht;
ADO Den Haag;Den Haag;
FC Twente Enschede;Twente;
SC Heerenveen;Heerenveen;
De Graafschap Doetinchem;Graafschap;
Excelsior Rotterdam;Excelsior;
Roda JC Kerkrade;Roda;
Heracles Almelo;Heracles ;
Roda JC Kerkrade;Roda ;
Ajax Amsterdam;Ajax ;
Feyenoord Rotterdam;Feyenoord ;
De Graafschap Doetinchem;Graafschap ;
FC Groningen;Groningen ;
FC Utrecht;Utrecht ;
Vitesse Arnheim;Vitesse ;
Willem II Tilburg;Willem II ;
PEC Zwolle;Zwolle;
Go Ahead Eagles Deventer;Go Ahead Eagles;
SC Cambuur-Leeuwarden;Cambuur;
Leixoes SC;Leixoes;
CD Nacional;Nacional;
Sporting Olhanense;Olhanense;
FC Paços de Ferreira;Pacos Ferreira;
Sporting Lissabon;Sp Lisbon;
Sporting Braga;Sp Braga;
Académica Coimbra;Academica;
CF Belenenses Lissabon;Belenenses;
CS Marítimo;Maritimo;
FC Porto;Porto;
Rio Ave FC;Rio Ave;
Benfica Lissabon;Benfica;
Naval 1? de Maio;Naval;*
Vitória Guimaraes SC;Guimaraes;
Uni?o Leiria;Leiria;*
Vitória Setúbal FC;Setubal;
SC Beira-Mar;Beira Mar;
Portimonense SC;Portimonense;
CD Feirense;Feirense;
Gil Vicente FC;Gil Vicente;
CD Feirense;Feirense ;
Moreirense FC;Moreirense;
GD Estoril-Praia;Estoril;
FC Arouca;Arouca;
Espanyol Barcelona;Espanol;
Deportivo de La Coruna ;La Coruna;
FC Málaga;Malaga;
CD Teneriffa;Tenerife;
Real Valladolid;Valladolid;
FC Villarreal;Villarreal;
Deportivo Xerez;Xerez;*
RCD Mallorca;Mallorca;
Real Saragossa ;Zaragoza;
Atlético Madrid;Ath Madrid;
FC Barcelona;Barcelona;
FC Valencia;Valencia;
Athletic Bilbao;Ath Bilbao;
Real Madrid;Real Madrid;
FC Sevilla;Sevilla;
UD Almería ;Almeria;
FC Getafe;Getafe;
CA Osasuna;Osasuna;
Racing Santander;Santander;
Sporting Gijón;Sp Gijon;
UD Levante;Levante;
Real Sociedad San Sebastián;Sociedad;
Hércules Alicante;Hercules;*
FC Granada;Granada;
Real Betis Sevilla;Betis;
Rayo Vallecano;Vallecano;
Celta Vigo;Celta;
FC Elche;Elche;
FC Girona;Girona;
SD Huesca;Huesca;*
UD Las Palmas ;Las Palmas;
CD Numancia ;Numancia;
UD Salamanca;Salamanca;*
Albacete Balompié;Albacete;
FC Cartagena;Cartagena;*
CD Castellón;Castellon;*
Real Unión Irún;Real Union;*
Recreativo Huelva;Recreativo;
Real Murcia;Murcia;
FC Cádiz;Cadiz;*
FC Villarreal B;Villarreal B;*
FC Córdoba;Cordoba;
Gimn?stic de Tarragona;Gimnastic;*
FC Barcelona B;Barcelona B;
SD Ponferradina ;Ponferradina;
AD Alcorcón;Alcorcon;
CD Alcoyano;Alcoyano;*
CD Guadalajara;Guadalajara;*
CE Sabadell;Sabadell;
CD Lugo;Lugo;
Real Madrid B (Castilla);Real Madrid B;*
CD Mirandés;Mirandes;
SD Eibar;Eibar;
Deportivo Alavés;Alaves;
FC Real Jaén;Jaen;*
MKE Ankaragücü;Ankaragucu;*
Gaziantep Büyüksehir Belediyespor;Buyuksehyr;
Fenerbahce Istanbul;Fenerbahce;
Galatasaray Istanbul;Galatasaray;
Genclerbirligi Ankara;Genclerbirligi;
Diyarbakirspor;Diyarbakirspor;*
Besiktas Istanbul;Besiktas;
Kardemir Karabükspor;Karabukspor;
Torku Konyaspor;Konyaspor;
Akhisar Belediye Genclik ve Spor;Akhisar Belediyespor;
Caykur Rizespor;Rizespor;
Suat Altin Insaat Kayseri Erciyesspor;Erciyesspor;
